ADM2_ES,ADM2_PCODE,admn2Nm,lat,lon,X7,X8,X9,X10,X11,
Abejorral,CO05002,Abejorral,5.789444444,-75.42805556,,,,,,
Ábrego,CO54003,Ábrego,8,-73.2,,,,,,
Abriaquí,CO05004,Abriaquí,6.633333333,-76.06666667,,,,,,
Acacías,CO50006,Acacías,3.987777778,-73.75972222,,,,,,
Acandí,CO27006,Acandí,8.533333333,-77.23333333,,,,,,
Acevedo,CO41006,"Acevedo, Huila",1.81917,-75.8964,,,,,,
Achí,CO13006,"Achí, Bolívar",8.566666667,-74.55,,,,,,
Agrado,CO41013,Agrado,2.258331,-75.7725,,,,,,
Agua de Dios,CO25001,Agua de Dios,4.378056,-74.673889,,,,,,
Aguachica,CO20011,Aguachica,8.316666667,-73.63333333,,,,,,
Aguada,CO68013,"Aguada, Santander",6.25,-73.46666667,,,,,,
Aguadas,CO17013,"Aguadas, Caldas",5.616666667,-75.46666667,,,,,,
Aguazul,CO85010,Aguazul,5.17306,-72.5547,,,,,,
Agustín Codazzi,CO20013,"Agustín Codazzi, Cesar",10.03666667,-73.23694444,,,,,,
Aipe,CO41016,Aipe,3.216666667,-75.23333333,,,,,,
Albán,CO25019,Albán,1.474444,-77.083611,,,,,,
Albán,CO52019,"Albán, Cundinamarca",4.878333333,-74.43833333,,,,,,
Albania,CO18029,"Albania, Caquetá",1.33167,-75.8822,,,,,,
Albania,CO44035,"Albania, La Guajira",11.1597,-72.5856,,,,,,
Albania,CO68020,"Albania, Santander",5.76139,-73.9178,,,,,,
Alcalá,CO76020,"Alcalá, Valle del Cauca",4.666666667,-75.75,,,,,,
Aldana,CO52022,Aldana,0.883333333,-77.7,,,,,,
Alejandría,CO05021,Alejandría,6.376944444,-75.14111111,,,,,,
Algarrobo,CO47030,"Algarrobo, Magdalena",10.1,-74.2667,,,,,,
Algeciras,CO41020,"Algeciras, Huila",2.533333333,-75.31666667,,,,,,
Almaguer,CO19022,"Almaguer, Cauca",1.916666667,-76.86666667,,,,,,
Almeida,CO15022,"Almeida, Boyacá",4.966666667,-73.38333333,,,,,,
Alpujarra,CO73024,"Alpujarra, Tolima",3.416666667,-74.91666667,,,,,,
Altamira,CO41026,"Altamira, Huila",2.06278,-75.7872,,,,,,
Alto Baudó,CO27025,Alto Baudó,5.533333333,-77,,,,,,
Altos del Rosario,CO13030,Altos del Rosario,8.8,-74.16666667,,,,,,
Alvarado,CO73026,"Alvarado, Tolima",4.566666667,-74.95,,,,,,
Amagá,CO05030,Amagá,6.05,-75.7,,,,,,
