"dept_CODE","municipality","year","Population_1993","victims__UR","cum_victims_UR","displaced_AS","cum_displaced_AS","displaced_CODHES","cum_displaced_CODHES","displaced_RUV","cum_displaced_RUV","displaced_CEDE","cum_displaced_CEDE","displaced_JYP","cum_displaced_JYP","number_dept","province","province_code"
5,5002,1996,23735,0,0,0,0,0,0,66,66,0,0,33,33,"ANTIOQUIA","ORIENTE",7
5,5002,1997,23735,0,0,125,125,1,1,109,175,21,21,37,70,"ANTIOQUIA","ORIENTE",7
5,5002,1998,23735,0,0,70,195,0,1,171,346,30,51,85,155,"ANTIOQUIA","ORIENTE",7
5,5002,1999,23735,0,0,183,378,0,1,381,727,100,151,229,384,"ANTIOQUIA","ORIENTE",7
5,5002,2000,23735,6,6,301,679,0,1,1181,1908,356,507,868,1252,"ANTIOQUIA","ORIENTE",7
5,5002,2001,23735,9,15,452,1131,91,92,960,2868,337,844,665,1917,"ANTIOQUIA","ORIENTE",7
5,5002,2002,23735,4,19,862,1993,56,148,2131,4999,923,1767,1667,3584,"ANTIOQUIA","ORIENTE",7
5,5002,2003,23735,1,20,573,2566,6,154,1277,6276,381,2148,773,4357,"ANTIOQUIA","ORIENTE",7
5,5002,2004,23735,3,23,563,3129,129,283,991,7267,469,2617,728,5085,"ANTIOQUIA","ORIENTE",7
5,5002,2005,23735,0,23,364,3493,42,325,565,7832,284,2901,432,5517,"ANTIOQUIA","ORIENTE",7
5,5002,2006,23735,0,23,302,3795,26,351,465,8297,247,3148,353,5870,"ANTIOQUIA","ORIENTE",7
5,5002,2007,23735,0,23,259,4054,58,409,378,8675,207,3355,309,6179,"ANTIOQUIA","ORIENTE",7
5,5002,2008,23735,0,23,225,4279,35,444,327,9002,169,3524,275,6454,"ANTIOQUIA","ORIENTE",7
5,5002,2009,23735,0,23,50,4329,15,459,81,9083,3,3527,58,6512,"ANTIOQUIA","ORIENTE",7
5,5002,2010,23735,0,23,29,4358,53,512,96,9179,0,3527,44,6556,"ANTIOQUIA","ORIENTE",7
5,5002,2011,23735,0,23,34,4392,28,540,70,9249,0,3527,56,6612,"ANTIOQUIA","ORIENTE",7
5,5002,2012,23735,0,23,0,4392,459,999,50,9299,0,3527,10,6622,"ANTIOQUIA","ORIENTE",7
5,5004,1996,3220,3,3,0,0,0,0,131,131,0,0,22,22,"ANTIOQUIA","OCCIDENTE",6
5,5004,1997,3220,0,3,50,50,2,2,87,218,1,1,24,46,"ANTIOQUIA","OCCIDENTE",6
5,5004,1998,3220,0,3,64,114,0,2,197,415,0,1,83,129,"ANTIOQUIA","OCCIDENTE",6
5,5004,1999,3220,6,9,79,193,0,2,237,652,8,9,114,243,"ANTIOQUIA","OCCIDENTE",6
5,5004,2000,3220,0,9,36,229,0,2,338,990,9,18,46,289,"ANTIOQUIA","OCCIDENTE",6
5,5004,2001,3220,0,9,32,261,0,2,67,1057,12,30,34,323,"ANTIOQUIA","OCCIDENTE",6
5,5004,2002,3220,0,9,4,265,0,2,85,1142,0,30,9,332,"ANTIOQUIA","OCCIDENTE",6
5,5004,2003,3220,0,9,24,289,0,2,68,1210,0,30,33,365,"ANTIOQUIA","OCCIDENTE",6
5,5004,2004,3220,0,9,40,329,0,2,88,1298,23,53,45,410,"ANTIOQUIA","OCCIDENTE",6
5,5004,2005,3220,0,9,13,342,0,2,51,1349,8,61,13,423,"ANTIOQUIA","OCCIDENTE",6
