wkt_geom,id,fid,cat,cat__1,cat__1_1,cat_,Shape_Leng,Shape_Area,ADM2_ES,ADM2_PCODE,ADM2_REF,ADM2ALT1ES,ADM2ALT2ES,ADM1_ES,ADM1_PCODE,ADM0_ES,ADM0_PCODE,date,validOn,validTo
"MultiLineString ((569.83704456305781605 -962.08142899696474615, 568.15935255812394189 -959.71292263705799996))",10,107,106,107,107,2,2.239375929,0.113362396,Ábrego,CO54003,Ábrego,,,Norte de Santander,CO54,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((550.4532432957914807 -1118.87007751757641927, 551.25148176545690148 -1120.09813670167704913))",33,405,405,405,408,4,2.074207207,0.091507447,Acacías,CO50006,Acacias,,,Meta,CO50,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((549.65658037200682884 -1119.66674044136107113, 556.39932100854889541 -1116.4728106661568745))",34,405,405,405,408,4,2.074207207,0.091507447,Acacías,CO50006,Acacias,,,Meta,CO50,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((473.95187811590636784 -1184.11905668126019009, 474.55103331161603819 -1184.41863427911494, 474.56040858682911221 -1184.40561306354129556))",36,62,61,62,61,8,0.939701747,0.022236899,Agrado,CO41013,,,,Huila,CO41,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((559.27951395737011353 -947.17667990658208055, 558.66642992361073539 -946.31114950598055202, 558.66642992361073539 -935.20387343575760042))",10,336,336,336,339,10,1.96504191,0.072023545,Aguachica,CO20011,,,,Cesar,CO20,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((477.45485253803110481 -1047.00238934994740703, 477.33231689410962417 -1049.39183440641659217))",24,58,59,58,59,12,1.374256447,0.038806855,Aguadas,CO17013,,,,Caldas,CO17,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((602.28854430002184017 -1064.49080895756924292, 599.84634457044546707 -1066.29032454778348438, 596.69692665752677385 -1076.63841197594501864))",31,659,659,660,666,13,2.224295917,0.117564769,Aguazul,CO85010,,,,Casanare,CO85,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((561.00026082607189437 -884.30976003248838424, 560.3792829357099663 -881.45326173682349236))",10,85,85,85,86,14,2.907060822,0.14450722,Agustín Codazzi,CO20013,Agustin Codazzi,,,Cesar,CO20,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((605.19225814782078032 -822.52858211956129253, 605.06332950019270811 -822.82941563069357471, 598.42015974546916368 -824.03726467700687408))",3,60,60,60,60,19,1.48541631,0.045170602,Albania,CO44035,,,,La Guajira,CO44,Colombia,CO,00:00.0,00:00.0,
"MultiLineString ((392.15638896589564411 -1244.21623407627294, 392.62681302087185031 -1243.42394093104985586),(392.98097856526879923 -1242.82745159311821226, 393.00191424766995851 -1242.79219149644268327))",58,228,228,228,229,22,0.452036143,0.003855327,Aldana,CO52022,,,,Nariño,CO52,Colombia,CO,00:00.0,00:00.0,
